status	key	command
Composition	Option F1	DisplayAsHiragana
Composition	Option z	DisplayAsHiragana
Conversion	Ctrl j	DisplayAsHiragana
Conversion	F6	DisplayAsHiragana
Conversion	Option F1	DisplayAsHiragana
Conversion	Option z	DisplayAsHiragana
Conversion	Ctrl n	ConvertNext
Conversion	Ctrl x	ConvertNext
Conversion	Down	ConvertNext
Conversion	Option k	ConvertNext
Conversion	Space	ConvertNext
Conversion	PageDown	ConvertNextPage
Conversion	Shift Down	ConvertNextPage
Conversion	Ctrl e	ConvertPrev
Conversion	Ctrl p	ConvertPrev
Conversion	Option i	ConvertPrev
Conversion	Shift Space	ConvertPrev
Conversion	Shift Tab	ConvertPrev
Conversion	Up	ConvertPrev
Conversion	PageUp	ConvertPrevPage
Conversion	Shift Up	ConvertPrevPage
Conversion	Ctrl i	SegmentWidthShrink
Conversion	Ctrl q	SegmentWidthShrink
Conversion	Shift Left	SegmentWidthShrink
Composition	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
Precomposition	Ctrl Backspace	Undo
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
